L;16;Thüringen
G;16;0;74;044;Kahla
G;16;0;74;045;Karlsdorf
G;16;0;74;046;Kleinbockedra
G;16;0;74;047;Kleinebersdorf
G;16;0;74;048;Kleineutersdorf
G;16;0;74;049;Laasdorf
G;16;0;74;051;Lehesten
G;16;0;74;052;Lindig
G;16;0;74;053;Lippersdorf-Erdmannsdorf
G;16;0;74;054;Löberschütz
G;16;0;74;055;Mertendorf
G;16;0;74;056;Meusebach
G;16;0;74;057;Milda
G;16;0;74;058;Möckern
G;16;0;74;059;Mörsdorf
G;16;0;74;061;Nausnitz
G;16;0;74;063;Neuengönna
G;16;0;74;064;Oberbodnitz
G;16;0;74;065;Orlamünde
G;16;0;74;066;Ottendorf
G;16;0;74;067;Petersberg
G;16;0;74;068;Poxdorf
G;16;0;74;071;Rattelsdorf
G;16;0;74;072;Rauda
G;16;0;74;073;Rauschwitz
G;16;0;74;074;Rausdorf
G;16;0;74;075;Reichenbach
G;16;0;74;076;Reinstädt
G;16;0;74;077;Renthendorf
G;16;0;74;079;Rothenstein
G;16;0;74;081;Ruttersdorf-Lotschen
G;16;0;74;082;Scheiditz
G;16;0;74;084;Schleifreisen
G;16;0;74;085;Schlöben
G;16;0;74;086;Schöngleina
G;16;0;74;087;Schöps
G;16;0;74;089;Seitenroda
G;16;0;74;091;Serba
G;16;0;74;092;Silbitz
G;16;0;74;093;St. Gangloff
G;16;0;74;094;Stadtroda
G;16;0;74;095;Sulza
G;16;0;74;096;Tautenburg
G;16;0;74;097;Tautendorf
G;16;0;74;098;Tautenhain
G;16;0;74;099;Thierschneck
G;16;0;74;101;Tissa
G;16;0;74;102;Trockenborn-Wolfersdorf
G;16;0;74;103;Tröbnitz
G;16;0;74;104;Unterbodnitz
G;16;0;74;105;Waldeck
G;16;0;74;106;Walpernhain
G;16;0;74;107;Waltersdorf
G;16;0;74;108;Weißbach
G;16;0;74;109;Weißenborn
G;16;0;74;112;Wichmar
G;16;0;74;113;Zimmern
G;16;0;74;114;Zöllnitz
G;16;0;74;116;Schkölen
G;16;0;75;006;Bodelwitz
G;16;0;75;014;Dittersdorf
G;16;0;75;016;Döbritz
G;16;0;75;019;Dreitzsch
G;16;0;75;023;Eßbach
G;16;0;75;029;Geroda
G;16;0;75;031;Gertewitz
G;16;0;75;033;Görkwitz
G;16;0;75;034;Göschitz
G;16;0;75;035;Gössitz
G;16;0;75;039;Grobengereuth
G;16;0;75;046;Hirschberg
G;16;0;75;047;Keila
G;16;0;75;048;Kirschkau
G;16;0;75;051;Kospoda
G;16;0;75;054;Langenorla
G;16;0;75;056;Lausnitz b. Neustadt an der Orla
G;16;0;75;057;Lemnitz
G;16;0;75;062;Bad Lobenstein
G;16;0;75;063;Löhma
G;16;0;75;065;Miesitz
G;16;0;75;066;Mittelpöllnitz
G;16;0;75;068;Moßbach
G;16;0;75;069;Moxa
G;16;0;75;072;Neundorf (bei Schleiz)
G;16;0;75;073;Neustadt an der Orla
G;16;0;75;074;Nimritz
G;16;0;75;075;Oberoppurg
G;16;0;75;076;Oettersdorf
G;16;0;75;077;Oppurg
